#theta Bragg001
1.117780100000000054e+01 1.476864395939204424e-03
1.117980099999999943e+01 1.557585324291589244e-03
1.118180100000000010e+01 1.536201839723715969e-03
1.118380100000000077e+01 1.572988282747548238e-03
1.118580099999999966e+01 1.700411629700523041e-03
1.118780100000000033e+01 1.734704066917312510e-03
1.118980099999999922e+01 1.697268581724294860e-03
1.119180099999999989e+01 1.878564395980011469e-03
1.119380100000000056e+01 1.964869252583245716e-03
1.119580099999999945e+01 1.965133970569447712e-03
1.119780100000000012e+01 2.011343419469618400e-03
1.119980100000000078e+01 1.967593936930135158e-03
1.120180099999999968e+01 2.114061763127510381e-03
1.120380100000000034e+01 2.260362122556694962e-03
1.120580099999999923e+01 2.334521887594513505e-03
1.120780099999999990e+01 2.348732126055593557e-03
1.120980100000000057e+01 2.512142408960981593e-03
1.121180099999999946e+01 2.596201225351196275e-03
1.121380100000000013e+01 2.664248849211884543e-03
1.121580100000000080e+01 2.708817258304908361e-03
1.121780099999999969e+01 2.834692543991219026e-03
1.121980100000000036e+01 2.925492950213133027e-03
1.122180099999999925e+01 3.033764590104437095e-03
1.122380099999999992e+01 3.227330157969318224e-03
1.122580100000000058e+01 3.288830544926403011e-03
1.122780099999999948e+01 3.455816087243055237e-03
1.122980100000000014e+01 3.525595497297586648e-03
1.123180100000000081e+01 3.724503224874743494e-03
1.123380099999999970e+01 3.923222260791773240e-03
1.123580100000000037e+01 4.134541473527287951e-03
1.123780099999999926e+01 4.352567269066947436e-03
1.123980099999999993e+01 4.391270601562117896e-03
1.124180100000000060e+01 4.564815484003329447e-03
1.124380099999999949e+01 4.862799583188606896e-03
1.124580100000000016e+01 5.154122482091114121e-03
1.124780100000000083e+01 5.404095367485476330e-03
1.124980099999999972e+01 5.734805445385357872e-03
1.125180100000000039e+01 6.019688085538765776e-03
1.125380099999999928e+01 6.497607677804423561e-03
1.125580099999999995e+01 6.698941548588304047e-03
1.125780100000000061e+01 7.353643841235878685e-03
1.125980099999999950e+01 7.438409410799675520e-03
1.126180100000000017e+01 8.254062947133915945e-03
1.126380100000000084e+01 8.290776190997852652e-03
1.126580099999999973e+01 9.004453289398561475e-03
1.126780100000000040e+01 9.274488516967119289e-03
1.126980099999999929e+01 9.993825218738714225e-03
1.127180099999999996e+01 1.140921775346958635e-02
1.127380100000000063e+01 1.233952793156916847e-02
1.127580099999999952e+01 1.302426508593593560e-02
1.127780100000000019e+01 1.422331702001834730e-02
1.127980100000000085e+01 1.482010804922501146e-02
1.128180099999999975e+01 1.612659117950437232e-02
1.128380100000000041e+01 1.811123376230199325e-02
1.128580099999999931e+01 1.962702366562091641e-02
1.128780099999999997e+01 2.183340984775571786e-02
1.128980100000000064e+01 2.334056439567814070e-02
1.129180099999999953e+01 2.583238192874950587e-02
1.129380100000000020e+01 2.930067502231045382e-02
1.129580100000000087e+01 3.262281055549468012e-02
1.129780099999999976e+01 3.675702642719931579e-02
1.129980100000000043e+01 4.083906564320363003e-02
1.130180099999999932e+01 4.690905107413476105e-02
1.130380099999999999e+01 5.561795658131449271e-02
1.130580100000000066e+01 6.406842290424567821e-02
1.130780099999999955e+01 7.596119128318017111e-02
1.130980100000000022e+01 9.101480211032605960e-02
1.131180100000000088e+01 1.104968385542617754e-01
1.131380099999999977e+01 1.372403284280375446e-01
1.131580100000000044e+01 1.742930303757534438e-01
1.131780099999999933e+01 2.297590855693747713e-01
1.131980100000000000e+01 3.177888369599422003e-01
1.132180100000000067e+01 6.270952589520260023e-01
1.132380099999999956e+01 1.290722269067714256e+00
1.132580100000000023e+01 4.494487962666873671e+00
1.132780099999999912e+01 6.495164759656455900e+00
1.132980099999999979e+01 8.222215618344225874e+00
1.133180100000000046e+01 9.403906499025254107e+00
1.133380099999999935e+01 9.935424734284266535e+00
1.133580100000000002e+01 9.684480820760267505e+00
1.133780100000000068e+01 9.129078192018075910e+00
1.133980099999999958e+01 8.670094257743159005e+00
1.134180100000000024e+01 8.390766157771363254e+00
1.134380099999999914e+01 8.013322858384132275e+00
1.134580099999999980e+01 7.449547628493138340e+00
1.134780100000000047e+01 6.949627590463579807e+00
1.134980099999999936e+01 6.635887815227545339e+00
1.135180100000000003e+01 6.434479420728117738e+00
1.135380100000000070e+01 6.294671320235771361e+00
1.135580099999999959e+01 6.170279014693869968e+00
1.135780100000000026e+01 6.125223519537041028e+00
1.135980099999999915e+01 6.004710233293592658e+00
1.136180099999999982e+01 5.905651751574127140e+00
1.136380100000000049e+01 5.803667122046266336e+00
1.136580099999999938e+01 5.714947162983737172e+00
1.136780100000000004e+01 5.645624678543855524e+00
1.136980100000000071e+01 5.579834909196495829e+00
1.137180099999999960e+01 5.530977869396757285e+00
1.137380100000000027e+01 5.489237061896479197e+00
1.137580099999999916e+01 5.456461061422079872e+00
1.137780099999999983e+01 5.420637170936042359e+00
1.137980100000000050e+01 5.403501994526663132e+00
1.138180099999999939e+01 5.390239681709668496e+00
1.138380100000000006e+01 5.364884464658818963e+00
1.138580100000000073e+01 5.369408159418830095e+00
1.138780099999999962e+01 5.362177550303754536e+00
1.138980100000000029e+01 5.367384472921426841e+00
1.139180099999999918e+01 5.368906898250328297e+00
1.139380099999999985e+01 5.391078916220365613e+00
1.139580100000000051e+01 5.405861030537368883e+00
1.139780099999999941e+01 5.428543998904707735e+00
1.139980100000000007e+01 5.451902120402483121e+00
1.140180100000000074e+01 5.469659085195859305e+00
1.140380099999999963e+01 5.548581656973438747e+00
1.140580100000000030e+01 5.688591188928886488e+00
1.140780099999999919e+01 5.927821126737375934e+00
1.140980099999999986e+01 6.291894928978800650e+00
1.141180100000000053e+01 6.608073365209247818e+00
1.141380099999999942e+01 6.978415013815322254e+00
1.141580100000000009e+01 6.692967640178252076e+00
1.141780100000000076e+01 6.048684401519167864e+00
1.141980099999999965e+01 5.443872332588324703e+00
1.142180100000000031e+01 5.384536613278761763e+00
1.142380099999999921e+01 5.551932421802709960e+00
1.142580099999999987e+01 4.402623925519518089e+00
1.142780100000000054e+01 3.013423407865568837e+00
1.142980099999999943e+01 2.029336416681081445e+00
1.143180100000000010e+01 8.786595195925734902e-01
1.143380100000000077e+01 2.099918558921332334e-01
1.143580099999999966e+01 3.611020162018870744e-02
1.143780100000000033e+01 1.038877283497132917e-02
1.143980099999999922e+01 8.707845474304143352e-03
1.144180099999999989e+01 8.121704062487586709e-03
1.144380100000000056e+01 7.378521912434374448e-03
1.144580099999999945e+01 6.837119530421209568e-03
1.144780100000000012e+01 6.145218762778200013e-03
1.144980100000000078e+01 5.993956969698385762e-03
1.145180099999999968e+01 5.657017880008599273e-03
1.145380100000000034e+01 5.489638861688677686e-03
1.145580099999999923e+01 5.074469179202857269e-03
1.145780099999999990e+01 4.683654652921091094e-03
1.145980100000000057e+01 4.619142793693093579e-03
1.146180099999999946e+01 4.352786063603976234e-03
1.146380100000000013e+01 4.296108959420703345e-03
1.146580100000000080e+01 4.146690945300611844e-03
1.146780099999999969e+01 3.784275272717923036e-03
1.146980100000000036e+01 3.851475152376322968e-03
1.147180099999999925e+01 3.833540204252892242e-03
1.147380099999999992e+01 3.666119124337282893e-03
1.147580100000000058e+01 3.689735105527826037e-03
1.147780099999999948e+01 3.404301055169771297e-03
1.147980100000000014e+01 3.246070361905295867e-03
1.148180100000000081e+01 3.114667912845376328e-03
1.148380099999999970e+01 3.149628376562839741e-03
1.148580100000000037e+01 2.964523830660044379e-03
1.148780099999999926e+01 2.754705078330354443e-03
1.148980099999999993e+01 2.642708601070168587e-03
1.149180100000000060e+01 2.745173167859746126e-03
1.149380099999999949e+01 2.837754760953055400e-03
1.149580100000000016e+01 2.596522389454987336e-03
1.149780100000000083e+01 2.503003136349401560e-03
1.149980099999999972e+01 2.381141545895977540e-03
1.150180100000000039e+01 2.402189076582629014e-03
1.150380099999999928e+01 2.250704659870146444e-03
1.150580099999999995e+01 2.316746735865156306e-03
1.150780100000000061e+01 2.366338138496253043e-03
1.150980099999999950e+01 2.148963633642622141e-03
1.151180100000000017e+01 2.098024769322527541e-03
1.151380100000000084e+01 2.096288913532761561e-03
1.151580099999999973e+01 2.054796123503076482e-03
1.151780100000000040e+01 1.999981264812507493e-03
1.151980099999999929e+01 1.939736964171090471e-03
1.152180099999999996e+01 1.989972787297926513e-03
1.152380100000000063e+01 1.862799541681018451e-03
1.152580099999999952e+01 1.898747529870111654e-03
1.152780100000000019e+01 1.923942183311149129e-03
1.152980100000000085e+01 1.764259339093925041e-03
1.153180099999999975e+01 1.796875732103867408e-03
1.153380100000000041e+01 1.769335726773372955e-03
1.153580099999999931e+01 1.759904141391447664e-03
1.153780099999999997e+01 1.748665092009747636e-03
1.153980100000000064e+01 1.624098438150868053e-03
1.154180099999999953e+01 1.536705509217894169e-03
1.154380100000000020e+01 1.665127047790549483e-03
1.154580100000000087e+01 1.459782295928751302e-03
1.154780099999999976e+01 1.511061626052012273e-03
1.154980100000000043e+01 1.464022694690462209e-03
1.155180099999999932e+01 1.409833765869397508e-03
1.155380099999999999e+01 1.389074020808048118e-03
1.155580100000000066e+01 1.454525046126216260e-03
1.155780099999999955e+01 1.307483060024933500e-03
